DATE,TIME,TEMPERATURE,RELATIVE-HUMIDITY,DEW-POINT
03-17-2017,13:14:39,37.3,45.9,23.6
03-17-2017,13:19:39,36.5,45.7,22.8
03-17-2017,13:24:39,36.1,51.7,24.5
03-17-2017,13:29:39,35.9,45.5,22.2
03-17-2017,13:34:39,35.8,46.8,22.6
03-17-2017,13:39:39,35.7,47.2,22.6
03-17-2017,13:44:39,35.6,47.5,22.7
03-17-2017,13:49:39,35.5,47.3,22.5
03-17-2017,13:54:39,35.5,45,21.7
03-17-2017,13:59:39,35.6,47.6,22.7
03-17-2017,14:04:39,35.8,44.1,21.6
03-17-2017,14:09:39,35.9,43.8,21.6
03-17-2017,14:14:39,36,45,22.1
03-17-2017,14:19:39,36.1,42.2,21.2
03-17-2017,14:24:39,36.2,40.8,20.7
03-17-2017,14:29:39,36.4,40,20.6
03-17-2017,14:34:39,36.4,38.4,19.9
03-17-2017,14:39:39,36.5,41.5,21.3
03-17-2017,14:44:39,36.8,40.3,21
03-17-2017,14:49:39,36.8,40.2,21
03-17-2017,14:54:39,36.7,40.1,20.9
03-17-2017,14:59:39,36.6,41.3,21.3
03-17-2017,15:04:39,36.6,41.1,21.2
03-17-2017,15:09:39,36.6,42,21.5
03-17-2017,15:14:39,36.6,41.3,21.3
03-17-2017,15:19:39,36.6,39,20.3
03-17-2017,15:24:39,36.6,40.9,21.1
03-17-2017,15:29:39,36.5,40.2,20.7
03-17-2017,15:34:39,36.4,40.6,20.8
03-17-2017,15:39:39,36.3,41.2,21
03-17-2017,15:44:39,36.2,37.8,19.5
03-17-2017,15:49:39,36,41.3,20.7
03-17-2017,15:54:39,35.7,43.2,21.2
03-17-2017,15:59:39,35.5,45.9,22
03-17-2017,16:04:39,35.3,46,21.9
03-17-2017,16:09:39,35.2,45.6,21.6
03-17-2017,16:14:39,35,45.9,21.6
03-17-2017,16:19:39,35,46.2,21.7
03-17-2017,16:24:39,34.9,47.1,21.9
03-17-2017,16:29:39,34.8,46.9,21.7
03-17-2017,16:34:39,34.7,48.4,22.2
03-17-2017,16:39:39,34.6,48.5,22.1
03-17-2017,16:44:39,34.3,47.1,21.3
03-17-2017,16:49:39,34.2,49.6,22.1
03-17-2017,16:54:39,34.2,52.8,23.1
03-17-2017,16:59:39,34.1,53.2,23.2
03-17-2017,17:04:39,34.1,55.6,23.9
03-17-2017,17:09:39,34,53.1,23
03-17-2017,17:14:39,34,54.7,23.5
