Fechas,TEMP-EXT,TEMP-INT,HUM-INT,HUM-EXT
2017-03-27 00:10:48,31.39,34.35,58.98,43.26
2017-03-27 00:40:55,30.96,34.18,61.12,46.29
2017-03-27 01:11:02,30.47,34.01,57.98,50.61
2017-03-27 01:41:09,29.98,33.91,58.91,52.64
2017-03-27 02:11:16,30.66,33.88,57.63,50.44
2017-03-27 02:41:23,30.33,33.85,58.37,51.47
2017-03-27 03:11:30,30.18,33.89,61.77,51
2017-03-27 03:41:37,30.26,33.79,58.69,50.39
2017-03-27 04:11:44,29.43,33.85,61.33,53.73
2017-03-27 04:41:51,29.16,33.68,60.9,54.27
2017-03-27 05:11:59,29.23,33.61,62.31,53.24
2017-03-27 05:42:06,28.65,33.53,67.27,55.36
2017-03-27 06:12:13,29.02,33.33,64.41,52.15
2017-03-27 06:42:20,28.78,33.48,64.89,50.81
2017-03-27 07:12:27,29.12,32.84,59.31,51.27
2017-03-27 07:42:34,29.67,32.68,58.9,53.88
2017-03-27 08:12:41,30.25,32.6,60.34,54.25
2017-03-27 08:42:48,32.57,32.62,55.05,49.49
2017-03-27 09:12:55,33.78,32.89,53.81,45.58
2017-03-27 09:43:03,35.04,33.13,52.54,40.3
2017-03-27 10:13:10,37.77,33.69,51.64,35.43
2017-03-27 10:43:17,39.15,34.61,46.37,32.22
2017-03-27 11:13:24,39.19,35.61,44.71,30.76
2017-03-27 11:43:31,41.11,36.17,43.24,27.14
2017-03-27 12:13:38,41.22,37.12,41.13,27.36
2017-03-27 12:43:46,41.85,37.19,39.6,24.9
2017-03-27 13:13:53,42.84,37.52,37.14,23.79
2017-03-27 13:44:00,42.89,37.72,38.2,22.08
2017-03-27 14:14:07,42.81,38.01,33.56,21.9
2017-03-27 14:44:15,43.76,37.98,36.06,20.99
2017-03-27 15:14:23,43.94,38.16,32.36,20.66
2017-03-27 15:44:30,45.09,38.16,34.1,19.65
2017-03-27 16:14:38,44.56,38.37,34.85,18.54
2017-03-27 16:44:45,42.74,38,34.45,19.3
2017-03-27 17:14:52,41.22,37.98,32.22,20.92
2017-03-27 17:44:59,40.16,37.57,31.72,22.36
2017-03-27 18:15:06,40.02,37.22,41.02,22.99
2017-03-27 18:45:15,38.91,36.96,36.73,24.37
2017-03-27 19:15:22,37.25,36.75,34.88,27.51
2017-03-27 19:45:29,36.28,36.46,38.25,30.24
2017-03-27 20:15:37,35.17,35.99,38.28,33.41
2017-03-27 20:45:44,34.46,35.5,38.24,35.48
2017-03-27 21:15:51,33.3,35.13,39.43,39.66
2017-03-27 21:45:58,33.24,34.87,43.71,40.35
2017-03-27 22:16:05,32.58,34.7,47.21,43.48
2017-03-27 22:46:13,32.48,34.61,45.94,44.44
2017-03-27 23:16:20,31.86,34.49,46.31,46.29
2017-03-27 23:46:28,31.72,34.36,45.76,46.33
2017-03-28 00:16:35,31.7,34.16,50.46,46.24
2017-03-28 00:46:42,31.55,34.08,51.77,46.9
2017-03-28 01:16:49,31.11,33.94,51.1,49.12
2017-03-28 01:46:56,30.78,33.89,52.72,50.15
2017-03-28 02:17:03,30.84,33.95,60.23,50.15
2017-03-28 02:47:10,31.48,33.92,56.39,47.42
2017-03-28 03:17:17,30.97,33.98,55.85,49.08
2017-03-28 03:47:24,31.03,33.91,57.43,48.46
2017-03-28 04:17:31,30.91,33.86,55.21,47.05
2017-03-28 04:47:38,30.77,33.75,56.92,48.59
2017-03-28 05:17:45,30.39,33.66,59.11,50.39
2017-03-28 05:47:52,29.73,33.46,59.18,52.49
2017-03-28 06:18:00,29.86,33.38,58.7,51.83
2017-03-28 06:48:07,30.06,33.23,57.79,50.81
2017-03-28 07:18:14,30.29,33.13,54.37,52.08
2017-03-28 07:48:22,30.66,33.02,55.86,54.17
2017-03-28 08:18:29,31.92,32.7,58.34,52.47
2017-03-28 08:48:36,33.26,33,56.68,49.34
2017-03-28 09:18:45,34.13,33.26,53.52,44.47
2017-03-28 09:48:52,36.16,33.51,50.3,39.57
2017-03-28 10:18:59,36.92,34.22,46.6,36.07
2017-03-28 10:49:06,39.19,35.1,44.11,30.49
2017-03-28 11:19:13,39.84,36.06,42.36,29.12
