DATE,TIME,TEMPERATURE,RELATIVE-HUMIDITY,DEW-POINT
03-17-2017,13:12:48,34,70.5,27.8
03-17-2017,13:17:48,35.5,67.8,28.6
03-17-2017,13:22:48,36.4,67.3,29.3
03-17-2017,13:27:48,37.3,63.2,29.1
03-17-2017,13:32:48,38,62.1,29.4
03-17-2017,13:37:48,38.4,66.1,30.9
03-17-2017,13:42:48,38.7,56.7,28.5
03-17-2017,13:47:48,38.9,50.8,26.8
03-17-2017,13:52:48,38.9,44.8,24.7
03-17-2017,13:57:48,38.9,48.7,26.1
03-17-2017,14:02:48,38.9,58.2,29.1
03-17-2017,14:07:48,39,50.4,26.7
03-17-2017,14:12:48,38.8,42.3,23.6
03-17-2017,14:17:48,38.7,53.6,27.5
03-17-2017,14:22:48,38.7,51.5,26.8
03-17-2017,14:27:48,38.6,54.2,27.6
03-17-2017,14:32:48,38.5,38.7,21.9
03-17-2017,14:37:48,38.3,48.3,25.4
03-17-2017,14:42:48,38.3,47,24.9
03-17-2017,14:47:48,38.2,55.2,27.6
03-17-2017,14:52:48,38.1,45.1,24.1
03-17-2017,14:57:48,38,48.5,25.2
03-17-2017,15:02:48,37.8,40.7,22.1
03-17-2017,15:07:48,37.6,38.4,21
03-17-2017,15:12:48,37.5,40.7,21.8
03-17-2017,15:17:48,37.5,45.9,23.8
03-17-2017,15:22:48,37.6,52.4,26.1
03-17-2017,15:27:48,37.7,55.2,27.1
03-17-2017,15:32:48,37.6,49.4,25.1
03-17-2017,15:37:48,37.5,46.1,23.9
03-17-2017,15:42:48,37.3,51.1,25.4
03-17-2017,15:47:48,37.2,56.6,27.1
03-17-2017,15:52:48,37,59.3,27.7
03-17-2017,15:57:48,36.9,55.4,26.4
03-17-2017,16:02:48,36.8,54.2,26
03-17-2017,16:07:48,36.7,57.1,26.8
03-17-2017,16:12:48,36.6,55.4,26.1
03-17-2017,16:17:48,36.5,59.6,27.3
03-17-2017,16:22:48,36.5,61.6,27.9
