Fechas,TEMP-EXT,TEMP-INT
2017-03-24 14:50:04,35.39,37.34
2017-03-24 14:51:05,35.33,37.34
2017-03-24 14:52:06,35.3,37.27
2017-03-24 14:53:07,35.73,37.21
2017-03-24 14:54:07,36.05,37.15
2017-03-24 14:55:08,36.35,37.1
2017-03-24 14:56:09,36.63,37.05
2017-03-24 14:57:10,36.96,37.02
2017-03-24 14:58:11,37.1,37.01
2017-03-24 14:59:11,37.33,36.98
2017-03-24 15:20:00,37.71,36.97
2017-03-24 15:50:02,37.43,36.8
2017-03-24 16:20:05,37.05,37.16
2017-03-24 16:50:07,37.35,36.27
2017-03-24 17:20:09,36.15,35.76
2017-03-24 17:50:11,35.38,35.21
2017-03-24 18:20:13,33.9,34.68
2017-03-24 22:50:31,27.73,31.34
2017-03-24 23:20:33,27.4,31.37
2017-03-24 23:50:35,26.76,31.37
2017-03-25 00:20:37,26.57,31.33
2017-03-25 00:50:38,26.3,31.33
2017-03-25 01:20:40,26.08,31.07
2017-03-25 01:50:42,25.48,30.87
2017-03-25 02:20:44,25.15,30.65
2017-03-25 02:50:46,24.63,30.5
2017-03-25 03:20:48,23.06,30.22
2017-03-25 03:50:50,23.53,29.9
2017-03-25 04:20:52,22.63,29.82
2017-03-25 04:50:54,22.77,29.64
2017-03-25 05:20:56,21.12,29.22
2017-03-25 05:50:57,20.87,29.05
2017-03-25 06:20:59,21.3,29.01
2017-03-25 06:51:01,22,29.6
2017-03-25 07:21:03,23.76,29.88
2017-03-25 07:51:05,26.17,30.14
2017-03-25 08:21:07,28.26,30.78
2017-03-25 08:51:09,31.04,31.38
2017-03-25 09:21:11,36.12,32.5
2017-03-25 09:51:13,35.64,33.01
2017-03-25 10:21:15,36.72,34.05
2017-03-25 10:51:17,40.44,35.13
2017-03-25 11:21:19,39.25,35.76
2017-03-25 11:51:21,39.94,36.73
2017-03-25 12:21:23,41.5,37.67
2017-03-25 12:51:26,41.7,38
2017-03-25 13:21:28,42.27,38.55
2017-03-25 13:51:30,42.64,38.69
2017-03-25 14:51:34,41.81,38.46
2017-03-25 15:51:38,43,38.5
2017-03-25 16:21:40,39.91,38.06
2017-03-25 16:51:42,39.63,37.35
2017-03-25 17:21:44,38.35,37.27
2017-03-25 17:51:46,37.65,36.82
2017-03-25 18:21:49,33.07,35.42
2017-03-25 18:51:50,30.95,34.17
2017-03-25 19:21:52,29.51,32.83
2017-03-25 19:51:54,28.93,32.42
2017-03-25 20:21:56,28.56,32.07
2017-03-25 20:51:58,28.16,32.13
2017-03-25 21:22:00,28.47,32.28
2017-03-25 21:52:02,28.39,32.34
2017-03-25 22:22:04,26.74,31.95
2017-03-25 22:52:06,26.05,31.66
2017-03-25 23:22:08,26.3,31.48
2017-03-25 23:52:10,25.98,31.27
2017-03-26 00:22:12,26.04,31.23
2017-03-26 00:52:14,26.07,31.09
2017-03-26 01:22:16,24.04,31.08
2017-03-26 01:52:18,23.99,30.97
2017-03-26 02:22:19,24.23,30.61
2017-03-26 03:22:23,23.75,30.07
2017-03-26 03:52:25,22.58,29.69
2017-03-26 04:22:27,22.69,29.45
2017-03-26 05:52:33,22.05,29.2
2017-03-26 06:52:36,22.84,29.53
2017-03-26 07:22:38,24.46,30.06
2017-03-26 07:52:40,26.9,30.32
2017-03-26 08:22:42,29.03,30.71
2017-03-26 08:52:44,31.42,31.09
2017-03-26 09:22:46,36.87,32.43
2017-03-26 09:52:48,40.68,34.27
2017-03-26 10:22:50,41.3,35.46
2017-03-26 10:52:52,42,36.49
2017-03-26 11:22:54,42.04,37.57
2017-03-26 11:52:57,39.54,37.95
2017-03-26 12:53:01,44.45,39.18
2017-03-26 17:23:20,36.99,36.69
2017-03-26 17:53:22,33.8,35.57
2017-03-26 18:23:24,31.84,34.63
2017-03-26 18:53:26,30.52,33.66
2017-03-26 19:23:28,29.74,32.93
2017-03-26 19:53:30,29.06,32.46
2017-03-26 20:23:31,28.43,32.21
2017-03-26 20:53:33,28.58,32.34
2017-03-26 21:23:35,28.48,32.46
2017-03-26 21:53:37,28.06,32.35
2017-03-26 22:23:39,28.63,32.13
2017-03-26 22:53:41,28.67,31.77
2017-03-26 23:23:43,28.47,32.03
2017-03-26 23:53:45,27.81,31.94
2017-03-27 00:23:47,27.43,31.55
2017-03-27 00:53:49,26.81,31.26
2017-03-27 01:23:51,26.44,30.97
2017-03-27 01:53:53,26.64,31.12
2017-03-27 02:23:55,26.35,31.04
2017-03-27 02:53:57,25.82,30.94
2017-03-27 03:23:58,25.87,30.91
2017-03-27 03:54:00,25.28,30.85
2017-03-27 04:24:02,25.07,30.67
2017-03-27 04:54:04,24.71,30.57
2017-03-27 05:24:06,24.76,30.46
2017-03-27 05:54:08,24.2,30.37
2017-03-27 06:24:10,24.02,30.4
2017-03-27 06:54:12,23.12,30.19
2017-03-27 07:24:14,25.19,30.22
2017-03-27 07:54:15,28.01,30.57
2017-03-27 08:24:17,28.95,30.73
2017-03-27 08:54:19,32.11,31.69
2017-03-27 09:24:21,36.68,32.87
2017-03-27 09:54:23,38.88,34.06
2017-03-27 10:24:25,40.14,35.2
2017-03-27 10:54:28,38.88,36.16
2017-03-27 11:24:30,40.45,36.75
2017-03-27 11:54:32,39.09,37.55
2017-03-27 12:24:34,39.92,37.38
2017-03-27 13:24:38,43.43,38.65
2017-03-27 13:54:40,42.87,38.98
2017-03-27 14:54:44,41.34,38.48
2017-03-27 16:24:51,41.07,37.99
2017-03-27 16:54:53,40.54,37.46
2017-03-27 17:24:55,38.41,36.92
2017-03-27 18:24:59,36.18,35.83
2017-03-27 18:55:01,34.93,35.15
2017-03-27 19:25:03,33.89,34.43
2017-03-27 19:55:05,32.81,33.75
2017-03-27 20:25:07,31.71,33.15
2017-03-27 20:55:09,31.08,32.97
2017-03-27 21:25:11,30.21,32.76
2017-03-27 21:55:13,29.89,32.6
2017-03-27 22:25:14,29.58,32.38
2017-03-27 22:55:16,28.9,32.24
2017-03-27 23:25:18,28.6,32.16
2017-03-27 23:55:20,27.93,31.96
2017-03-28 00:25:22,27.76,31.76
2017-03-28 00:55:24,27.31,31.56
2017-03-28 01:25:26,27.17,31.41
2017-03-28 01:55:28,27.01,31.48
2017-03-28 02:25:30,26.71,31.51
2017-03-28 02:55:32,26.18,31.3
2017-03-28 03:25:34,26.21,31.12
2017-03-28 03:55:36,25.45,31
2017-03-28 04:25:37,24.98,30.8
2017-03-28 04:55:39,24.51,30.62
2017-03-28 05:25:41,24.2,30.46
2017-03-28 05:55:43,24.05,30.31
2017-03-28 06:25:45,23.98,30.35
2017-03-28 06:55:47,24.52,30.18
2017-03-28 07:25:49,26.01,30.21
2017-03-28 07:55:51,29.39,30.62
2017-03-28 08:25:53,30.39,31.04
2017-03-28 08:55:55,32.5,31.33
2017-03-28 09:25:57,36.42,32.59
2017-03-28 09:55:59,38.46,34.02
2017-03-28 10:26:01,39.48,34.89
2017-03-28 10:56:03,40.51,36
2017-03-28 11:26:05,41.78,37.05
2017-03-28 11:56:07,41.93,38.02
2017-03-28 12:26:09,42.26,38.6
2017-03-28 15:56:24,43.86,39.59
2017-03-28 16:56:28,40.04,37.78
2017-03-28 17:26:30,39.2,37.42
2017-03-28 17:56:32,37.75,36.64
2017-03-28 18:26:34,36.72,36.15
2017-03-28 18:56:36,35.29,35.57
2017-03-28 19:26:38,34.41,35.03
2017-03-28 19:56:40,33.23,34.28
2017-03-28 20:26:42,32.38,33.82
2017-03-28 20:56:44,31.25,33.28
2017-03-28 21:26:46,30.12,32.57
2017-03-28 21:56:48,29.55,32.21
2017-03-28 22:26:50,28.78,31.85
2017-03-28 22:56:52,28.34,31.74
2017-03-28 23:26:53,27.77,31.37
2017-03-28 23:56:55,27.4,31.3
2017-03-29 00:26:57,27.02,30.98
2017-03-29 00:56:59,26.58,30.86
2017-03-29 01:27:01,26.32,30.89
2017-03-29 01:57:03,26.2,30.82
2017-03-29 02:27:05,25.82,30.78
2017-03-29 02:57:07,25.61,30.78
2017-03-29 03:27:09,25.69,30.86
2017-03-29 03:57:11,25.25,30.89
2017-03-29 04:27:12,24.99,30.82
2017-03-29 04:57:14,24.63,30.65
2017-03-29 05:27:16,23.85,30.36
2017-03-29 05:57:18,24.15,30.32
2017-03-29 06:27:20,23.82,30.58
2017-03-29 06:57:22,24.56,30.07
2017-03-29 07:27:24,26.54,30.14
2017-03-29 07:57:26,29.09,30.72
2017-03-29 08:27:28,30.35,30.64
2017-03-29 08:57:30,31.52,30.68
2017-03-29 09:27:32,37.2,31.91
2017-03-29 09:57:34,37.1,33.62
2017-03-29 10:27:36,37.85,34.55
2017-03-29 10:57:38,40.4,35.8
2017-03-29 11:27:40,39.84,36.78
2017-03-29 11:57:42,40.84,37.75
2017-03-29 12:27:44,42.09,38.83
2017-03-29 12:57:46,43.2,39.19
2017-03-29 13:57:50,42.91,39.33
2017-03-29 14:27:52,43.03,39.47
2017-03-29 14:57:54,43.13,39.59
2017-03-29 15:27:57,43.59,39.84
2017-03-29 15:57:59,42.77,39.52
2017-03-29 16:28:01,40.9,38.68
2017-03-29 16:58:03,41.14,38.1
2017-03-29 17:28:05,39.57,37.52
2017-03-29 17:58:07,38.76,37.08
2017-03-29 18:28:09,37.25,36.54
2017-03-29 18:58:11,36.18,35.94
2017-03-29 19:28:13,34.9,35.32
2017-03-29 19:58:15,33.87,34.73
2017-03-29 20:28:17,33.01,34.34
2017-03-29 20:58:19,31.87,33.87
2017-03-29 21:28:21,31.15,33.34
2017-03-29 21:58:23,30.03,32.92
2017-03-29 22:28:25,29.39,32.39
2017-03-29 22:58:27,28.98,32.39
2017-03-29 23:28:28,28.48,32.13
2017-03-29 23:58:30,28.11,32.24
2017-03-30 00:28:32,27.81,32.03
2017-03-30 00:58:34,27.66,32.07
2017-03-30 01:28:36,27.6,32.32
2017-03-30 01:58:38,27.44,32.3
2017-03-30 02:28:40,26.94,31.96
2017-03-30 02:58:42,26.6,31.81
2017-03-30 03:28:44,26.25,31.74
2017-03-30 03:58:46,26.17,31.81
2017-03-30 04:28:48,26.14,32
2017-03-30 04:58:49,25.76,31.71
2017-03-30 05:28:51,25.66,31.64
2017-03-30 05:58:53,25.71,31.8
2017-03-30 06:28:55,25.5,31.73
2017-03-30 06:58:57,25.54,31.96
2017-03-30 07:28:59,27.76,31.95
2017-03-30 07:59:01,29.09,32.13
2017-03-30 08:29:03,30.01,32.09
2017-03-30 08:59:05,32.47,31.85
2017-03-30 09:29:07,33.59,31.71
2017-03-30 09:59:09,36.82,33.75
2017-03-30 10:29:11,36.15,34.67
2017-03-30 10:59:13,38.19,35.46
2017-03-30 11:29:15,39.77,36.54
2017-03-30 11:59:17,40.25,37.17
2017-03-30 12:29:19,41.68,37.99
