Fechas,Temp_Int,Temp_Ext
2017-04-05 08:09:35,38.04,38.44
2017-04-05 08:10:36,38.73,38.41
2017-04-05 08:11:37,38.73,38.51
2017-04-05 08:12:38,38.39,38.58
2017-04-05 08:13:39,37.9,38.62
2017-04-05 08:14:40,37.97,38.84
2017-04-05 08:15:41,36.99,38.84
2017-04-05 08:16:42,36.97,38.8
2017-04-05 08:24:43,40.78,38.87
2017-04-05 08:26:44,37.11,38.84
2017-04-05 08:27:45,36.62,38.89
2017-04-05 08:28:46,36.54,38.83
2017-04-05 08:29:47,36.35,38.61
2017-04-05 08:30:48,36.17,38.41
2017-04-05 08:31:49,36,38.16
2017-04-05 08:52:38,35.25,38.26
2017-04-05 09:22:41,37.55,39.25
2017-04-05 10:22:47,40.92,40.69
2017-04-05 10:52:51,41.9,41
2017-04-05 11:22:54,42.97,41.03
2017-04-05 11:52:57,44.33,41.93
2017-04-05 12:23:01,44.77,41.81
2017-04-05 12:53:04,45.97,41.36
2017-04-05 13:23:07,46.16,42.12
2017-04-05 13:53:11,45.55,42.19
2017-04-05 14:23:14,45.77,41.83
2017-04-05 14:53:17,46.88,42.23
2017-04-05 15:23:21,46.95,42.49
2017-04-05 15:53:24,44.9,41.84
2017-04-05 16:23:27,42.47,41.03
2017-04-05 16:53:31,39.86,40.15
2017-04-05 17:23:34,37.69,39.42
2017-04-05 17:53:37,36.31,38.83
2017-04-05 18:23:40,34.87,38.99
2017-04-05 18:53:43,34.24,38.89
2017-04-05 19:23:47,31.75,37.4
2017-04-05 19:53:50,29.36,36.87
2017-04-05 20:23:53,29.53,36.7
2017-04-05 20:53:56,30.14,36.28
2017-04-05 21:23:59,30.02,36.26
2017-04-05 21:54:02,29.79,36.42
2017-04-05 22:24:05,29.33,36.3
2017-04-05 22:54:08,29.02,35.93
2017-04-05 23:24:11,29.08,35.61
2017-04-05 23:54:15,28.66,35.5
2017-04-06 00:24:18,28.44,35.32
2017-04-06 00:54:21,28.23,35.12
2017-04-06 01:24:24,28.28,35.35
2017-04-06 01:54:27,28.3,35.89
2017-04-06 02:24:30,27.97,36.31
2017-04-06 02:54:33,27.49,35.75
2017-04-06 03:24:36,27.21,35.54
2017-04-06 03:54:39,27.11,35.76
2017-04-06 04:24:42,27.25,35.48
2017-04-06 04:54:45,27.26,35.02
2017-04-06 05:24:48,27.32,35.18
2017-04-06 05:54:52,27.45,37.94
2017-04-06 06:24:55,27.7,36.61
2017-04-06 06:54:58,29.33,36.49
2017-04-06 07:25:01,30.63,36.19
2017-04-06 07:55:04,32.18,36.61
2017-04-06 08:25:07,34.45,37.49
2017-04-06 08:55:10,36.76,38.9
2017-04-06 09:25:14,38.73,39.31
2017-04-06 09:55:17,39.12,40.08
2017-04-06 10:55:23,38.73,39.55
2017-04-06 11:25:26,39.64,39.24
2017-04-06 11:55:30,40.5,39.75
2017-04-06 12:25:33,37.89,40.17
2017-04-06 12:55:36,39.6,40.43
2017-04-06 13:25:39,38.14,39.56
2017-04-06 13:55:43,39.83,39.84
2017-04-06 14:25:46,39.67,39.95
2017-04-06 14:55:49,38.85,40.08
2017-04-06 15:25:52,37.48,39.42
2017-04-06 15:55:56,34.57,39.01
2017-04-06 16:25:59,33.44,38.65
2017-04-06 16:56:02,32.15,37.73
2017-04-06 17:26:05,30.73,36.94
2017-04-06 17:56:08,29.3,36.1
2017-04-06 18:26:11,28.57,35.57
2017-04-06 18:56:14,28.12,35.65
2017-04-06 19:26:17,28.12,35.5
2017-04-06 19:56:21,27.81,35.47
2017-04-06 20:26:24,27.48,35.25
2017-04-06 20:56:27,27.48,35.29
2017-04-06 21:26:30,27.68,35.23
2017-04-06 21:56:33,27.51,35.3
2017-04-06 22:26:36,27.74,35.23
2017-04-06 22:56:39,27.59,35.33
2017-04-06 23:26:42,27.6,35.38
2017-04-06 23:56:45,27.41,35.35
2017-04-07 00:26:48,27.19,35.22
2017-04-07 00:56:51,27.11,35.28
2017-04-07 01:26:55,27.19,35.18
