DATE,TIME,TEMPERATURE,RELATIVE-HUMIDITY,DEW-POINT
2017-03-17,14:07:58,37.9,33.3,19
2017-03-17,14:12:58,37,47.6,24
2017-03-17,14:17:58,36.6,46.3,23.2
2017-03-17,14:22:58,36.5,39.4,20.5
2017-03-17,14:27:58,36.4,33.1,17.6
2017-03-17,14:32:58,36.3,42.5,21.5
2017-03-17,14:37:58,36.2,51.9,24.7
2017-03-17,14:42:58,36.2,41.7,21.1
2017-03-17,14:47:58,36.1,40.1,20.4
2017-03-17,14:52:58,36.1,36.8,19
2017-03-17,14:57:58,36.2,33.3,17.5
2017-03-17,15:02:58,36.3,37.3,19.4
2017-03-17,15:07:58,36.3,37.3,19.4
2017-03-17,15:12:58,36.3,38.7,20
2017-03-17,15:17:58,36.4,48.7,23.9
2017-03-17,15:22:58,36.4,43.4,22
2017-03-17,15:27:58,36.4,44.6,22.4
2017-03-17,15:32:58,36.5,45.7,22.9
2017-03-17,15:37:58,36.5,35.9,19
2017-03-17,15:42:58,36.5,40.9,21.1
2017-03-17,15:47:58,36.5,48.2,23.8
2017-03-17,15:52:58,36.3,34.6,18.2
2017-03-17,15:57:58,36.2,44.6,22.2
2017-03-17,16:02:58,36.2,40.9,20.8
2017-03-17,16:07:58,36.2,38.2,19.7
2017-03-17,16:12:58,36.3,46.1,22.9
2017-03-17,16:17:58,36.2,50.7,24.4
2017-03-17,16:22:58,36.1,48.2,23.4
2017-03-17,16:27:58,35.9,42.4,21.1
2017-03-17,16:32:58,35.8,49.9,23.7
2017-03-17,16:37:58,35.7,44.4,21.7
2017-03-17,16:42:58,35.5,49.1,23.2
2017-03-17,16:47:58,35.6,49.8,23.5
2017-03-17,16:52:58,35.5,44.1,21.4
2017-03-17,16:57:58,35.5,42,20.6
2017-03-17,17:02:58,35.3,40.6,19.9
2017-03-17,17:07:58,35.2,47.2,22.3
2017-03-17,17:12:57,35.1,53.5,24.2
2017-03-17,17:17:57,35.1,49,22.8
2017-03-17,17:22:57,35.1,52.5,23.9
2017-03-17,17:27:57,35.1,47.8,22.4
2017-03-17,17:32:57,35.1,44.4,21.2
2017-03-17,17:37:57,34.9,54.6,24.4
2017-03-17,17:42:57,34.8,59,25.6
2017-03-17,17:47:57,34.8,56.5,24.9
2017-03-17,17:52:57,34.8,58.2,25.4
2017-03-17,17:57:57,34.7,57.1,25
2017-03-17,18:02:57,34.6,52.3,23.4
2017-03-17,18:07:57,34.6,59,25.4
2017-03-17,18:12:57,34.8,56.2,24.8
2017-03-17,18:17:57,34.8,57.3,25.1
2017-03-17,18:22:57,34.9,59.5,25.8
2017-03-17,18:27:57,34.8,60.8,26.1
2017-03-17,18:32:57,34.7,61.8,26.3
2017-03-17,18:37:57,34.7,61.2,26.1
2017-03-17,18:42:57,34.6,57.1,24.9
2017-03-17,18:47:57,34.5,62,26.2
2017-03-17,18:52:57,34.4,62.6,26.2
2017-03-17,18:57:57,34.3,59.9,25.4
2017-03-17,19:02:57,34.4,59.1,25.3
2017-03-17,19:07:57,34.4,53.9,23.7
2017-03-17,19:12:57,34.5,55.3,24.2
2017-03-17,19:17:57,34.6,61.1,26
2017-03-17,19:22:57,34.7,59.5,25.7
2017-03-17,19:27:57,34.7,60.4,25.9
2017-03-17,19:32:57,34.7,54.8,24.3
2017-03-17,19:37:57,34.5,56,24.4
2017-03-17,19:42:57,34.5,62.2,26.2
2017-03-17,19:47:57,34.6,59,25.4
2017-03-17,19:52:57,34.6,57.8,25.1
2017-03-17,19:57:57,34.5,59.6,25.5
2017-03-17,20:02:57,34.5,59,25.3
2017-03-17,20:07:57,34.6,52.5,23.5
2017-03-17,20:12:57,34.7,55,24.3
2017-03-17,20:17:57,34.6,55.5,24.4
2017-03-17,20:22:57,34.6,60.1,25.7
2017-03-17,20:27:57,34.5,57.2,24.8
2017-03-17,20:32:57,34.5,58.9,25.3
2017-03-17,20:37:57,34.5,50.8,22.8
2017-03-17,20:42:57,34.6,54.9,24.2
2017-03-17,20:47:57,34.6,62.5,26.4
2017-03-17,20:52:57,34.4,55.2,24.1
2017-03-17,20:57:57,34.3,61.3,25.8
2017-03-17,21:02:57,34.1,58.4,24.8
2017-03-17,21:07:57,34.3,57.9,24.8
2017-03-17,21:12:57,34.4,59.1,25.3
2017-03-17,21:17:57,34.2,59.8,25.3
2017-03-17,21:22:57,34.3,56.1,24.3
2017-03-17,21:27:57,34.4,55.6,24.2
2017-03-17,21:32:57,34.4,49.6,22.3
2017-03-17,21:37:57,34.4,53.4,23.6
2017-03-17,21:42:57,34.5,58.4,25.1
2017-03-17,21:47:57,34.5,56.8,24.7
2017-03-17,21:52:57,34.5,54.6,24
2017-03-17,21:57:57,34.6,53.4,23.7
2017-03-17,22:02:57,34.6,58.4,25.2
2017-03-17,22:07:57,34.6,57.2,24.9
2017-03-17,22:12:57,34.6,59.2,25.5
2017-03-17,22:17:57,34.4,50.9,22.8
2017-03-17,22:22:57,34.5,53.7,23.7
2017-03-17,22:27:57,34.6,56.2,24.6
2017-03-17,22:32:57,34.6,49.9,22.6
2017-03-17,22:37:57,34.6,51.5,23.1
2017-03-17,22:42:57,34.5,59.8,25.5
2017-03-17,22:47:57,34.5,45.5,21
2017-03-17,22:52:57,34.7,59.3,25.6
2017-03-17,22:57:57,34.7,53.3,23.8
2017-03-17,23:02:57,34.8,57.7,25.2
2017-03-17,23:07:57,34.6,45.9,21.3
2017-03-17,23:12:57,34.7,58.2,25.3
2017-03-17,23:17:57,34.7,55.2,24.4
2017-03-17,23:22:57,34.5,48.7,22.1
